City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,San Quintin,MX,2020-12-26 13:59:22,30.48,-115.95,57.33,69,0,5.95
150,Biltine,TD,2020-12-26 13:59:23,14.53,20.92,88.92,13,64,10.16
151,Baturaja,ID,2020-12-26 13:59:23,-4.13,104.17,77.0,90,100,1.34
152,Council Bluffs,US,2020-12-26 13:59:23,41.26,-95.86,21.2,92,75,4.59
153,Kijang,KR,2020-12-26 13:59:23,35.24,129.21,32.0,60,0,3.36
154,Aguimes,ES,2020-12-26 13:59:24,27.91,-15.45,71.01,77,20,13.87
155,Chadan,RU,2020-12-26 13:59:24,51.28,91.58,-8.77,82,1,1.07
156,Castanos,MX,2020-12-26 13:59:24,26.78,-101.42,45.0,18,71,4.0
157,Ondjiva,AO,2020-12-26 13:59:24,-17.07,15.73,91.47,33,67,4.68
158,Mount Gambier,AU,2020-12-26 13:59:25,-37.83,140.77,68.0,52,40,5.82
159,Soltsy,RU,2020-12-26 13:59:25,58.12,30.32,23.81,97,100,7.94
160,Acapulco,MX,2020-12-26 13:57:56,16.86,-99.89,77.0,88,90,3.13
161,Cape Town,ZA,2020-12-26 13:59:25,-33.93,18.42,78.8,54,0,11.41
162,Riverton,US,2020-12-26 13:59:26,40.52,-111.94,34.0,54,100,5.99
163,Inhambane,MZ,2020-12-26 13:59:26,-23.86,35.38,84.2,79,75,11.41
164,Nago,JP,2020-12-26 13:59:26,26.59,127.98,62.6,72,40,6.93
165,Iqaluit,CA,2020-12-26 13:59:26,63.75,-68.51,-18.4,68,20,5.82
166,Warwick,US,2020-12-26 13:56:09,41.7,-71.42,28.99,63,20,17.22
167,Saint-Philippe,RE,2020-12-26 13:59:27,-21.36,55.77,86.0,66,20,8.05
168,Boromlya,UA,2020-12-26 13:59:27,50.62,34.97,29.79,97,73,7.96
169,Yerbogachen,RU,2020-12-26 13:59:27,61.28,108.01,-35.43,82,59,3.06
170,Carmo Do Rio Claro,BR,2020-12-26 13:59:27,-20.97,-46.12,69.58,87,96,9.15
171,Nuevitas,CU,2020-12-26 13:59:27,21.55,-77.26,64.4,77,75,11.41
172,Malanje,AO,2020-12-26 13:59:28,-9.54,16.34,77.0,78,91,5.79
173,Clyde River,CA,2020-12-26 13:59:28,70.47,-68.59,-20.2,82,0,4.7
174,Luderitz,NA,2020-12-26 13:59:28,-26.65,15.16,73.4,64,2,24.16
